City,Cloudiness,Country,Date,Humidity,Lat,Max Temp,Wind Speed,lng
lorengau,10,PG,1563552156,83,-2.02,80.24,10.27,147.27
bredasdorp,67,ZA,1563552157,87,-34.53,50.0,10.29,20.04
altamira,75,BR,1563552006,66,-3.2,87.8,6.93,-52.21
thompson,90,CA,1563552157,93,55.74,53.6,11.41,-97.86
atuona,37,PF,1563552157,76,-9.8,79.52,10.98,-139.03
kloulklubed,75,PW,1563552157,94,7.04,77.0,3.36,134.26
solvychegodsk,66,RU,1563552158,55,61.33,72.86,3.94,46.92
avera,1,US,1563552158,66,33.19,93.2,5.82,-82.53
plouzane,90,FR,1563552158,100,48.38,68.0,14.99,-4.62
barrow,70,AR,1563552158,37,-38.31,51.26,15.01,-60.23
puerto ayora,75,EC,1563552159,83,-0.74,71.6,12.75,-90.35
ca mau,100,VN,1563552052,91,9.18,78.44,3.91,105.15
chokurdakh,69,RU,1563552159,92,70.62,33.8,7.52,147.9
nakhon sawan,100,TH,1563552159,78,15.7,83.48,6.85,100.13
ushuaia,40,AR,1563552159,69,-54.81,39.2,6.55,-68.31
tucupita,55,VE,1563552160,63,9.06,87.98,7.7,-62.05
punta arenas,40,CL,1563552160,67,-53.16,39.2,14.99,-70.91
severobaykalsk,9,RU,1563552160,85,55.65,51.26,3.18,109.32
mar del plata,100,AR,1563552161,46,-46.43,43.16,31.54,-67.52
karaj,20,IR,1563552161,7,35.81,104.0,6.93,51.01
laguna,75,BZ,1563552161,79,16.17,84.2,1.77,-88.94
butaritari,100,KI,1563552161,66,3.07,84.56,7.07,172.79
rikitea,92,PF,1563552161,63,-23.12,66.2,15.57,-134.97
grootfontein,0,NA,1563552162,10,-19.56,75.92,9.71,18.1
tual,64,ID,1563552162,87,-5.67,77.36,16.55,132.75
kodiak,1,US,1563552162,27,39.95,91.0,13.87,-94.76
lagoa,0,PT,1563552162,47,37.14,87.01,14.99,-8.45
castro,40,CL,1563552162,75,-42.48,44.6,12.75,-73.76
cayenne,75,GF,1563552163,66,4.94,87.8,6.91,-52.33
souillac,0,FR,1563552163,42,45.6,84.99,3.36,-0.6
abalak,88,NE,1563552163,31,15.46,97.34,12.5,6.28
nikolskoye,90,RU,1563552163,88,59.7,62.6,8.95,30.79
busselton,42,AU,1563552163,98,-33.64,46.99,28.9,115.35
kiama,0,AU,1563552164,76,-34.67,52.0,11.41,150.86
zhezkazgan,0,KZ,1563552164,21,47.8,86.72,13.51,67.71
ponta do sol,48,BR,1563552164,56,-20.63,64.76,9.44,-46.0
vaini,75,IN,1563552165,88,15.34,73.4,11.41,74.49
bay roberts,40,CA,1563552165,49,47.58,73.0,32.21,-53.28
tsumeb,0,NA,1563552165,8,-19.25,78.62,11.59,17.72
sorsk,100,RU,1563552165,93,54.0,53.78,3.53,90.25
mataura,100,NZ,1563552166,97,-46.19,45.0,3.0,168.86
saint-philippe,90,CA,1563552166,74,45.36,84.99,16.11,-73.48
albany,40,US,1563552065,69,42.65,86.0,8.05,-73.75
west bay,20,CA,1563552166,67,49.34,63.0,16.11,-123.21
prince rupert,75,CA,1563552167,93,54.32,55.4,2.24,-130.32
kapaa,90,US,1563551948,88,22.08,78.8,12.75,-159.32
kavieng,5,PG,1563552167,76,-2.57,83.48,10.96,150.8
vancouver,1,CA,1563551958,72,49.26,63.0,1.14,-123.12
meadow lake,75,CA,1563552167,88,54.13,64.4,8.05,-108.44
lashio,100,MM,1563552167,94,22.93,73.76,0.96,97.75
roma,20,IT,1563552056,51,41.89,87.8,5.82,12.48
ribeira grande,40,PT,1563552168,83,38.52,77.0,11.41,-28.7
carnarvon,19,ZA,1563552168,55,-30.97,51.98,22.3,22.13
snyder,1,US,1563552168,54,32.72,89.01,19.46,-100.92
north battleford,90,CA,1563552168,100,52.78,57.99,11.41,-108.3
canutama,33,BR,1563552169,42,-6.53,94.46,1.39,-64.38
jamestown,0,AU,1563552169,49,-33.21,50.54,12.41,138.6
chuy,67,UY,1563552169,86,-33.69,56.48,6.96,-53.46
cape town,40,ZA,1563552082,62,-33.93,55.4,14.99,18.42
entre rios,55,BR,1563552170,58,-11.94,76.82,12.35,-38.08
hilo,90,US,1563552170,88,19.71,79.0,3.36,-155.08
rawson,55,AR,1563552170,53,-43.3,48.02,28.34,-65.11
bethel,90,US,1563552171,100,60.79,53.6,8.05,-161.76
kununurra,0,AU,1563552171,67,-15.77,57.2,3.62,128.74
bluff,0,AU,1563551979,56,-23.58,51.08,7.76,149.07
cidreira,100,BR,1563552171,67,-30.17,65.84,2.98,-50.22
saldanha,0,PT,1563552171,18,41.42,93.38,5.48,-6.55
cardston,1,CA,1563552172,41,49.2,64.0,26.4,-113.32
norman wells,75,CA,1563552172,60,65.28,69.8,2.13,-126.83
port elizabeth,20,US,1563552172,74,39.31,91.99,6.93,-74.98
narsaq,63,GL,1563552172,69,60.91,51.08,3.0,-46.05
salalah,75,OM,1563552173,88,17.01,80.6,6.93,54.1
saskylakh,100,RU,1563552173,56,71.97,53.96,2.33,114.09
port-gentil,75,GA,1563552173,83,-0.72,78.8,10.29,8.78
san andres,83,PH,1563552173,87,13.32,80.06,7.96,122.68
zhaoyang,99,CN,1563552174,85,42.68,70.52,2.21,126.03
georgetown,75,GY,1563552134,83,6.8,86.0,2.24,-58.16
wanning,75,AT,1563552174,36,48.64,82.99,4.7,13.53
deputatskiy,100,RU,1563552174,93,69.3,35.24,5.86,139.9
the valley,40,AI,1563551897,66,18.22,88.0,16.11,-63.06
oranjemund,0,ZA,1563552175,90,-28.55,56.3,19.62,16.43
bulgan,43,MN,1563552175,81,48.81,58.1,2.42,103.53
hermanus,42,ZA,1563552175,97,-34.42,52.0,3.0,19.24
lebu,98,ET,1563552175,81,8.96,61.88,2.64,38.73
port hardy,75,CA,1563552176,100,50.7,51.8,3.89,-127.42
namatanai,84,PG,1563552176,84,-3.66,79.34,15.75,152.44
tiksi,87,RU,1563551885,85,71.64,37.58,4.76,128.87
faya,75,SA,1563552176,12,18.39,86.0,19.46,42.45
hithadhoo,96,MV,1563551876,75,-0.6,83.3,14.0,73.08
kavaratti,100,IN,1563552176,78,10.57,80.96,22.03,72.64
praxedis guerrero,1,MX,1563552177,37,31.37,84.99,12.75,-106.02
cleethorpes,75,GB,1563552177,88,53.56,64.4,13.87,-0.03
santa isabel do rio negro,7,BR,1563552177,55,-0.41,88.16,3.51,-65.02
bathsheba,75,BB,1563552177,66,13.22,86.0,21.92,-59.52
floro,40,NO,1563552177,77,61.6,68.0,11.41,5.03
kokstad,30,ZA,1563552178,37,-30.55,57.2,8.72,29.42
sola,100,TZ,1563552178,31,-3.17,81.5,5.84,33.8
qasigiannguit,75,GL,1563552178,93,68.82,46.4,8.05,-51.19
tura,0,RU,1563552178,56,64.27,53.78,6.13,100.22
yellowknife,75,CA,1563552178,58,62.45,59.0,4.7,-114.38
raudeberg,40,NO,1563552179,77,61.99,68.0,11.41,5.14
dunedin,100,NZ,1563551909,92,-45.87,48.0,15.01,170.5
east london,75,ZA,1563552179,58,-33.02,59.0,26.4,27.91
arraial do cabo,40,BR,1563552179,73,-22.97,71.6,12.75,-42.02
nanchang,67,CN,1563552180,89,28.68,78.08,3.22,115.89
marzuq,90,YE,1563552180,12,14.4,92.48,12.28,46.47
barabai,65,ID,1563552180,91,-2.59,75.56,0.69,115.38
guerrero negro,0,MX,1563552180,87,27.97,64.94,14.34,-114.04
faanui,100,PF,1563552181,72,-16.48,76.28,14.94,-151.75
marsa matruh,0,EG,1563552181,58,31.35,82.4,11.41,27.25
hobyo,100,SO,1563552181,62,5.35,80.42,33.02,48.53
voznesenye,70,RU,1563552181,74,61.02,67.46,7.7,35.48
hobart,20,AU,1563552181,75,-42.88,45.0,8.05,147.33
luganville,40,VU,1563552182,94,-15.51,69.8,3.36,167.18
payson,1,US,1563552182,31,40.04,84.0,14.2,-111.73
teknaf,55,BD,1563552182,81,20.86,84.74,11.63,92.31
opuwo,0,NA,1563552182,10,-18.06,85.46,11.23,13.84
bonavista,27,CA,1563552183,64,48.65,59.72,14.07,-53.11
khatanga,88,RU,1563552183,47,71.98,62.6,8.08,102.47
erice,20,IT,1563552183,61,38.04,84.2,20.8,12.59
avarua,1,CK,1563551982,100,-21.21,68.0,1.12,-159.78
sayat,0,TM,1563552183,16,38.78,102.2,9.17,63.88
oussouye,40,SN,1563552184,70,12.49,89.6,9.17,-16.54
mogwase,0,ZA,1563552184,9,-25.28,77.0,8.05,27.22
qaanaaq,100,GL,1563552184,74,77.48,41.9,6.35,-69.36
le port,20,FR,1563552184,35,42.87,91.0,12.75,1.37
hasaki,75,JP,1563552184,94,35.73,77.0,1.12,140.83
moreira sales,100,BR,1563552185,74,-24.05,65.3,4.09,-53.01
vinh,100,VN,1563552185,66,18.67,85.64,4.52,105.69
mascote,75,BR,1563552185,88,-15.56,71.6,9.17,-39.3
aksu,0,KZ,1563552185,53,52.04,71.6,6.71,76.93
zolotkovo,28,RU,1563552185,72,55.53,67.28,9.98,41.1
nome,75,US,1563552186,66,30.04,90.0,11.41,-94.42
ancud,40,CL,1563552186,75,-41.87,44.6,12.75,-73.83
leningradskiy,58,RU,1563552186,86,69.38,35.24,0.98,178.42
chicla,1,PE,1563552186,47,-11.71,44.24,11.27,-76.27
merauke,10,ID,1563552187,81,-8.49,76.82,21.25,140.4
geraldton,40,CA,1563552187,69,49.72,73.4,11.41,-86.95
ketchikan,90,US,1563552187,87,55.34,57.2,11.41,-131.65
parabel,8,RU,1563552187,68,58.71,72.5,7.65,81.5
cherskiy,49,RU,1563552187,88,68.75,35.78,4.03,161.3
tuktoyaktuk,90,CA,1563552188,87,69.44,55.4,10.29,-133.03
hoquiam,40,US,1563552130,77,46.98,64.0,3.27,-123.89
victoria,75,BN,1563552188,88,5.28,82.4,1.12,115.24
euclides da cunha,100,BR,1563552188,74,-10.51,68.36,10.25,-39.01
buan,40,KR,1563552188,88,35.72,80.6,10.29,126.72
gazalkent,0,UZ,1563552189,30,41.57,95.0,2.24,69.78
derzhavinsk,0,KZ,1563552189,38,51.1,83.66,3.06,66.31
okhotsk,98,RU,1563552189,98,59.36,51.08,3.58,143.24
luxor,0,EG,1563552189,22,25.7,111.2,4.7,32.65
carutapera,0,BR,1563552190,54,-1.2,87.8,8.21,-46.02
heinola,75,FI,1563552190,68,61.2,68.0,12.75,26.03
zheleznodorozhnyy,0,RU,1563552190,56,55.75,73.0,8.95,38.0
codrington,0,AU,1563552190,93,-28.95,55.99,3.62,153.24
pulaski,75,US,1563552191,70,37.05,88.0,6.93,-80.78
arlit,32,NE,1563552191,12,18.74,108.32,9.01,7.39
vagay,0,RU,1563552191,53,57.94,70.52,1.45,69.02
najran,75,SA,1563552191,11,17.54,96.8,11.41,44.22
batagay,9,RU,1563552192,82,67.65,39.56,9.24,134.64
san rafael,52,AR,1563552194,30,-34.61,53.96,8.39,-68.33
new norfolk,20,AU,1563552194,75,-42.78,45.0,8.05,147.06
petropavlovsk-kamchatskiy,50,RU,1563551955,93,53.05,59.0,4.47,158.65
camacha,75,PT,1563552194,73,33.08,75.2,16.11,-16.33
chara,40,GR,1563552195,39,39.42,86.0,9.17,22.43
lavrentiya,100,RU,1563552195,92,65.58,44.96,4.61,-170.99
bandarbeyla,39,SO,1563552195,29,9.49,93.38,20.02,50.81
gorgan,75,IR,1563552164,74,36.84,86.0,11.41,54.43
esperance,90,AU,1563552196,58,-33.86,59.0,20.8,121.89
wamba,54,CD,1563552196,63,2.14,83.48,2.35,27.99
mount isa,0,AU,1563552196,48,-20.73,42.8,10.07,139.49
sevilla,0,ES,1563552196,18,37.39,104.0,12.75,-6.0
araouane,46,ML,1563552197,17,18.9,107.96,13.58,-3.53
mahebourg,75,MU,1563552197,88,-20.41,72.0,12.75,57.7
